CURRENT	MARKER_NUMBER	MISSING_DATA	METHOD	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX	SUBSAMPLE
TRI	100	no.imputation	THL	10.1	2.01	0	20	7	7	13	8.09	12.11	1
TRI	200	no.imputation	THL	10.7	2.78	0	33	7	7	13	7.92	13.48	1
TRI	500	no.imputation	THL	15.9	2.65	7	33	13	13	18.25	13.25	18.55	1
TRI	1000	no.imputation	THL	12.8	2.89	0	27	10	7	18.25	9.91	15.69	1
TRI	2000	no.imputation	THL	20.6	2.69	7	33	20	14.75	25.25	17.91	23.29	1
TRI	3000	no.imputation	THL	18.7	2.76	7	33	20	13	25.25	15.94	21.46	1
TRI	4000	no.imputation	THL	22	2.81	7	33	23.5	14.75	27	19.19	24.81	1
TRI	5000	no.imputation	THL	26.2	3.21	7	40	27	27	27	22.99	29.41	1
TRI	6000	no.imputation	THL	26.9	2.59	7	40	27	27	27	24.31	29.49	1
TRI	7000	no.imputation	THL	23.86	2.49	13	33	27	20	27	21.37	26.35	1
TRI	8000	no.imputation	THL	24.2	2.66	7	40	27	20	27	21.54	26.86	1
TRI	9000	no.imputation	THL	19.4	2.69	7	33	20	14.75	25.25	16.71	22.09	1
TRI	10156	no.imputation	THL	19.3	2.71	7	40	20	14.75	20	16.59	22.01	1
BON	100	no.imputation	THL	10.8	2.84	0	27	7	7	18.25	7.96	13.64	1
BON	200	no.imputation	THL	12.6	2.72	0	27	13	8.5	18.25	9.88	15.32	1
BON	500	no.imputation	THL	9.4	2.47	0	27	7	7	13	6.93	11.87	1
BON	1000	no.imputation	THL	12.7	1.8	7	20	13	7	18.25	10.9	14.5	1
BON	2000	no.imputation	THL	13.4	2.62	0	27	13	7	20	10.78	16.02	1
BON	3000	no.imputation	THL	15.4	4	7	47	13	7	13	11.4	19.4	1
BON	4000	no.imputation	THL	15.4	2.45	7	27	13	8.5	20	12.95	17.85	1
BON	5000	no.imputation	THL	13.9	2.73	0	27	13	13	20	11.17	16.63	1
BON	6000	no.imputation	THL	15.1	1.49	13	27	13	13	13	13.61	16.59	1
BON	7000	no.imputation	THL	17	1.41	13	20	20	13	20	15.59	18.41	1
BON	8000	no.imputation	THL	17.2	1.55	13	27	16.5	13	20	15.65	18.75	1
