NUMBER	CURRENT	MARKER_NUMBER	MISSING_DATA	METHOD	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX
20	NOR	100	no.imputation	THL	40	3.65	20	50	45	30	50	36.35	43.65
20	NOR	200	no.imputation	THL	42	2.91	20	50	40	40	50	39.09	44.91
20	NOR	500	no.imputation	THL	45	4.77	20	60	50	40	57.5	40.23	49.77
20	NOR	1000	no.imputation	THL	45	3.42	30	60	45	40	50	41.58	48.42
20	NOR	2000	no.imputation	THL	58	5.12	30	80	60	50	67.5	52.88	63.12
20	NOR	3000	no.imputation	THL	66	4.76	40	80	70	62.5	77.5	61.24	70.76
20	NOR	4000	no.imputation	THL	59	4.07	40	80	55	50	70	54.93	63.07
20	NOR	5000	no.imputation	THL	54	2.67	40	60	60	50	60	51.33	56.67
20	NOR	6000	no.imputation	THL	54	4.52	30	80	50	50	60	49.48	58.52
20	NOR	7000	no.imputation	THL	50	3.65	30	70	50	42.5	57.5	46.35	53.65
20	NOR	8000	no.imputation	THL	53	2.6	40	70	50	50	57.5	50.4	55.6
20	NOR	9000	no.imputation	THL	56	3.4	30	70	60	52.5	60	52.6	59.4
20	NOR	10156	no.imputation	THL	54	4.27	30	70	60	42.5	60	49.73	58.27
20	SOU	100	no.imputation	THL	51	2.33	40	60	50	50	57.5	48.67	53.33
20	SOU	200	no.imputation	THL	48	3.89	30	70	45	40	57.5	44.11	51.89
20	SOU	500	no.imputation	THL	56	4.76	40	80	55	42.5	60	51.24	60.76
20	SOU	1000	no.imputation	THL	57	4.23	40	80	50	50	60	52.77	61.23
20	SOU	2000	no.imputation	THL	54	3.06	40	70	55	50	60	50.94	57.06
20	SOU	3000	no.imputation	THL	56	2.67	50	70	50	50	60	53.33	58.67
20	SOU	4000	no.imputation	THL	59	2.77	40	70	60	60	60	56.23	61.77
20	SOU	5000	no.imputation	THL	65	4.77	30	80	70	62.5	70	60.23	69.77
20	SOU	6000	no.imputation	THL	67	3	50	80	70	60	70	64	70
20	SOU	7000	no.imputation	THL	65	3.42	50	80	70	55	70	61.58	68.42
20	SOU	8000	no.imputation	THL	71	2.77	50	80	70	70	77.5	68.23	73.77
20	SOU	9000	no.imputation	THL	70	3.33	50	80	70	62.5	80	66.67	73.33
20	SOU	10156	no.imputation	THL	73	2.13	60	80	70	70	80	70.87	75.13
20	OVERALL	100	no.imputation	THL	45.5	5.5	40	51	45.5	42.75	48.25	40	51
20	OVERALL	200	no.imputation	THL	45	3	42	48	45	43.5	46.5	42	48
20	OVERALL	500	no.imputation	THL	50.5	5.5	45	56	50.5	47.75	53.25	45	56
20	OVERALL	1000	no.imputation	THL	51	6	45	57	51	48	54	45	57
20	OVERALL	2000	no.imputation	THL	56	2	54	58	56	55	57	54	58
20	OVERALL	3000	no.imputation	THL	61	5	56	66	61	58.5	63.5	56	66
20	OVERALL	4000	no.imputation	THL	59	0	59	59	59	59	59	59	59
20	OVERALL	5000	no.imputation	THL	59.5	5.5	54	65	59.5	56.75	62.25	54	65
20	OVERALL	6000	no.imputation	THL	60.5	6.5	54	67	60.5	57.25	63.75	54	67
20	OVERALL	7000	no.imputation	THL	57.5	7.5	50	65	57.5	53.75	61.25	50	65
20	OVERALL	8000	no.imputation	THL	62	9	53	71	62	57.5	66.5	53	71
20	OVERALL	9000	no.imputation	THL	63	7	56	70	63	59.5	66.5	56	70
20	OVERALL	10156	no.imputation	THL	63.5	9.5	54	73	63.5	58.75	68.25	54	73
20	NOR	100	no.imputation	THL	50	3.33	40	70	50	40	57.5	46.67	53.33
20	NOR	200	no.imputation	THL	39	3.14	20	50	40	32.5	47.5	35.86	42.14
20	NOR	500	no.imputation	THL	42	3.27	30	60	40	40	40	38.73	45.27
20	NOR	1000	no.imputation	THL	35	5	20	70	30	22.5	40	30	40
20	NOR	2000	no.imputation	THL	33.33	4.71	20	60	30	20	40	28.62	38.04
20	NOR	3000	no.imputation	THL	23	3	10	40	20	20	30	20	26
20	NOR	4000	no.imputation	THL	29	3.79	10	50	30	20	37.5	25.21	32.79
20	NOR	5000	no.imputation	THL	21	3.48	0	40	20	20	27.5	17.52	24.48
20	NOR	6000	no.imputation	THL	20	4.22	0	40	20	10	27.5	15.78	24.22
20	NOR	7000	no.imputation	THL	20	3.65	10	40	20	10	20	16.35	23.65
20	NOR	8000	no.imputation	THL	18	3.27	10	40	15	10	20	14.73	21.27
20	NOR	9000	no.imputation	THL	19	2.33	10	30	20	12.5	20	16.67	21.33
20	NOR	10156	no.imputation	THL	26	2.67	20	40	20	20	30	23.33	28.67
20	SOU	100	no.imputation	THL	51	3.14	40	70	50	42.5	57.5	47.86	54.14
20	SOU	200	no.imputation	THL	54	5.62	30	90	55	40	60	48.38	59.62
20	SOU	500	no.imputation	THL	54	4	40	70	50	42.5	67.5	50	58
20	SOU	1000	no.imputation	THL	57	3.96	40	70	55	50	70	53.04	60.96
20	SOU	2000	no.imputation	THL	67.78	5.21	30	80	70	70	80	62.57	72.99
20	SOU	3000	no.imputation	THL	68	3.59	50	80	70	62.5	77.5	64.41	71.59
20	SOU	4000	no.imputation	THL	68	5.12	40	90	70	60	77.5	62.88	73.12
20	SOU	5000	no.imputation	THL	70	4.22	50	90	70	60	77.5	65.78	74.22
20	SOU	6000	no.imputation	THL	73	3.67	60	90	70	62.5	80	69.33	76.67
20	SOU	7000	no.imputation	THL	77	3	60	90	80	70	80	74	80
20	SOU	8000	no.imputation	THL	73	3.35	50	90	70	70	80	69.65	76.35
20	SOU	9000	no.imputation	THL	77	2.13	70	90	80	70	80	74.87	79.13
20	SOU	10156	no.imputation	THL	77	2.6	70	90	75	70	80	74.4	79.6
20	OVERALL	100	no.imputation	THL	50.5	0.5	50	51	50.5	50.25	50.75	50	51
20	OVERALL	200	no.imputation	THL	46.5	7.5	39	54	46.5	42.75	50.25	39	54
20	OVERALL	500	no.imputation	THL	48	6	42	54	48	45	51	42	54
20	OVERALL	1000	no.imputation	THL	46	11	35	57	46	40.5	51.5	35	57
20	OVERALL	2000	no.imputation	THL	50.55	17.23	33.33	67.78	50.55	41.94	59.17	33.32	67.78
20	OVERALL	3000	no.imputation	THL	45.5	22.5	23	68	45.5	34.25	56.75	23	68
20	OVERALL	4000	no.imputation	THL	48.5	19.5	29	68	48.5	38.75	58.25	29	68
20	OVERALL	5000	no.imputation	THL	45.5	24.5	21	70	45.5	33.25	57.75	21	70
20	OVERALL	6000	no.imputation	THL	46.5	26.5	20	73	46.5	33.25	59.75	20	73
20	OVERALL	7000	no.imputation	THL	48.5	28.5	20	77	48.5	34.25	62.75	20	77
20	OVERALL	8000	no.imputation	THL	45.5	27.5	18	73	45.5	31.75	59.25	18	73
20	OVERALL	9000	no.imputation	THL	48	29	19	77	48	33.5	62.5	19	77
